fi-17;Есть настольный футбол
f-139;Одинокий жаворонок-антиваксер, который хочет просто накатить на свежем воздухе
f-140;Некурящий одинокий жаворонок, который хочет покушать на улице
f-141;Привитый футболохейтер, который хочет посидеть на свежем воздухе днём
f-142;Непривитые мерзляки
f-143;Непривитые мерзляки-алкоголики
f-144;Непривередливая компания антикошатников
f-145;Голодный cоцио- и котофоб, которому рано вставать
f-146;Голодный социо- и котофоб, которому рано вставать и не хочется курить
f-147;Непривередливый антикошатник
f-148;Привитый голодный социо- и котофоб, которому рано вставать и не хочется курить
f-149;Привитый непривередливый антикошатник
f-150;Привитый непривередливый антикошатник, не играющий в кикер и не курящий кальян
f-151;Пришли выпить и поболтать
f-152;Привитые пришли выпить и поболтать
f-153;Привитые пришли выпить и поболтать до закрытия
f-154;Привитые пришли выпить и поболтать до утра
f-155;Мерзляки пришли выпить и поболтать
f-156;Мерзляки пришли выпить и поболтать до утра
f-157;Непривитые мерзляки пришли выпить и поболтать до закрытия
r-1;fic-31;f-69;Для больших компаний - только большие бары
r-2;fic-66;f-69;Маленькая компания может пойти в большой бар
r-3;fic-66;f-70;Маленькая компания поместится в бар с парой больших столов
r-4;fic-31;f-69;Для больших компаний - только большие бары
r-5;fic-32;f-69;Вдвоём можно сходить в большой бар
r-6;fic-32;f-70;Вдвоём можно сходить и в средний бар
r-7;fic-32;f-71;Вдвоём поместитесь за маленьким столиком
r-8;fic-68;f-72;Одному можно посидеть за барной стойкой
r-9;fic-68;f-71;Одному можно посидеть за столиком
r-10;fic-68;f-70;Одному можно прийти в средний бар
r-11;fic-68;f-69;Одному можно найти место в большом баре
r-12;fib-6;f-74;Если сотка в кармане - иди в дешёвый бар
r-13;fib-7;f-74;Если у тебя есть стипендия - купи много в дешёвом баре
r-14;fib-7;f-75;Со стипендией можно пойти в бар со средними ценами
r-15;fib-8;f-74;Если ты с зарплатой - купи очень много в дешёвом баре
r-16;fib-8;f-75;Если ты с зарплатой - иди веселись в среднем баре
r-17;fib-8,fn-23;f-76;С зарплатой и с QR кодом можно шиковать в дорогом баре 
r-22;fia-1;f-81;Лонг дринки - легко
r-24;fia-3;f-81;Пиво - легко
r-25;fia-4;f-81;Сидр - легко
r-26;fia-5;f-81;Вино - легко
r-27;fia-4;f-82;Сидр => сидрерия
r-28;fia-4;f-83;Сидр => пивной бар
r-29;f-81;f-86;Слабый алкоголь => бар широкого профиля
r-30;fia-5;f-85;Вино => винный бар
r-31;fia-5;f-86;Вино => бар широкого профиля
r-32;fia-3;f-83;Пиво => пивбар
r-33;fia-2;f-86;Крепкие напитки => Бар широкого профиля
r-34;fia-1;f-84;Лонг дринки => Коктейльный бар
r-89;fn-97,fn-92,fn-95,fn-98,fn-23,fn-108,fn-111;f-105;Есть все отрицания фич => нам на них всё равно
r-90;f-105,fil-39,f-83,f-74,f-72;ff-73;Мы дошли до пивка на западном!!
r-91;f-105,fil-40,f-83,f-74,f-72;ff-73;Мы дошли до пивка на северном!!
r-92;f-105,fil-39,f-83,f-74,f-72;ff-103;Мы дошли до пивноff на западном!!
r-93;f-105,fil-40,f-83,f-74,f-72;ff-103;Мы дошли до пивноff на северном!!
r-94;f-105,fil-41,f-83,f-75,f-70;ff-42;Мы дошли до Есенина!!
r-95;f-105,fil-41,f-84,f-76,f-71;ff-43;Мы дошли до O.W.Grant!!
r-96;f-105,fil-41,f-85,f-76,f-69;ff-44;Мы дошли до Сияния!!
r-97;f-105,fil-41,f-82,f-75,f-71;ff-45;Мы дошли до Мистера Fox!!
r-98;f-105,fil-41,f-83,f-75,f-71;ff-46;Мы дошли до Дров!!
r-99;f-105,fil-41,f-83,f-75,f-70;ff-47;Мы дошли до Hops!!
r-100;f-105,fil-41,f-84,f-76,f-71;ff-48;Мы дошли до Своего бара!!
r-101;f-105,fil-39,f-86,f-75,f-69;ff-49;Мы дошли до Эйнштейна!!
r-102;f-105,fil-39,f-83,f-74,f-69;ff-50;Мы дошли до Пинты на западном!!
r-117;f-105,fil-40,f-83,f-74,f-69;ff-50;Мы дошли до Пинты на северном!!
r-118;f-105,fil-41,f-83,f-74,f-69;ff-50;Мы дошли до Пинты в центре!!
r-103;f-105,fil-39,f-83,f-74,f-69;ff-51;Мы дошли до Доброго Эля на западном!!
r-119;f-105,fil-40,f-83,f-74,f-69;ff-51;Мы дошли до Доброго Эля на северном!!
r-120;f-105,fil-41,f-83,f-74,f-69;ff-51;Мы дошли до Доброго Эля в центре!!
r-104;f-105,fil-41,f-86,f-74,f-69;ff-52;Мы дошли до Немца Перца Колбасы!!
r-105;f-105,fil-41,f-83,f-75,f-71;ff-53;Мы дошли до Голодранца!!
r-106;f-105,fil-41,f-86,f-76,f-71;ff-54;Мы дошли до 1984!!
r-107;f-105,fil-41,f-83,f-75,f-70;ff-55;Мы дошли до Квадрюпеля!!
r-108;f-105,fil-40,f-86,f-74,f-70;ff-56;Мы дошли до Красного Крокодила!!
r-109;f-105,fil-41,f-86,f-75,f-69;ff-57;Мы дошли до Шамайки!!
r-110;f-105,fil-40,f-86,f-75,f-69;ff-58;Мы дошли до Корриды!!
r-111;f-105,fil-41,f-83,f-76,f-70;ff-59;Мы дошли до London Pub!!
r-112;f-105,fil-41,f-86,f-76,f-71;ff-60;Мы дошли до St. Patrick’s Pub!!
r-113;f-105,fil-41,f-85,f-76,f-72;ff-61;Мы дошли до Mozart Wine House!!
r-114;f-105,fil-41,f-83,f-74,f-72;ff-62;Мы дошли до Шкипера!!
r-115;f-105,fil-41,f-84,f-76,f-71;ff-63;Мы дошли до Mojo!!
r-116;f-105,fil-41,f-86,f-74,f-72;ff-64;Мы дошли до Чёрного кота!!
r-35;fi-17,fi-22;f-112;Есть настольный футбол и можно сидеть после закрытия => можно посидеть компанией
r-36;fn-111,fn-23;f-115;Нет столиков на улице и все равно проверяют ли QR-код => привитый
r-37;fi-26,fi-28;f-113;Есть кухня и милые официанты => бар-ресторан с хорошим обслуживанием
r-38;fn-92,fn-95;f-114;Кальян не обязателен и кухня не обязательна => зашли просто выпить
r-39;fi-22,fi-26;f-116;Можно сидеть после закрытия и есть кухня => отмечаем что-то
r-40;fn-108,fn-98,fn-89;f-122;Кот и настольный футбол не обязательны, на официантов все равно => поздравляю, вы социо- и котофоб
r-41;fn-98,fi-107,fn-89,f-114;f-121;Кошатники
r-42;f-121;fn-97;f-117;Обниматься с котом до закрытия 
r-43;f-121;fi-22;f-118;Обниматься с котом до утра
r-44;fn-23,fi-110,f-117;f-955;Кошатники, которым все равно проверяют ли QR-код, есть столики на улице => Бар Квадрюпель
r-45;f-115,f-117;f-955;Привитый обнимается с котом  до закрытия => Бар Квадрюпель 
r-46;fn-23,fi-110,f-118;f-955;Обниматься с котом до утра, все равно проверяют ли QR-код, есть столики на улице => Бар Квадрюпель
r-47;f-115,f-118;f-955;Привитый обнимается с котом до утра => Бар Квадрюпель 
r-48;fi-30,fn-111,f-117;f-942;Обниматься с котом  до закрытия без QR-кода => Бар Есенин
r-49;f-115,f-117;f-942;Привитый обнимается с котом  до закрытия => Бар Есенин 
r-50;f-115,f-118;f-942;Привитый обнимается с котом до утра => Бар Есенин 
r-51;fi-30,fn-111,f-118;f-942;Обниматься с котом до утра, не требуется QR-код, нет столиков на улице => Бар Есенин
r-53;f-113,fn-108,fn-89,fn-92;f-119;Бар-ресторан с хорошим обслуживанием без кота, кикера и кальяна => бар для представительных персон
r-54;f-119,f-115;f-120;Бар для привитых представительных персон
r-55;f-119,fn-97;f-123;Бар для представительных персон, которым рано вставать
r-56;f-122,fn-97;f-124;Социо- и котофоб, которому рано вставать
r-57;f-120,fn-97;f-125;Бар для привитых представительных персон которым ещё и рано вставать (бедные...)
r-58;f-120,fi-22;f-943;Бар для привитых представительных персон, где можно сидеть после закрытия => Бар O.W. Grant
r-59;f-125;f-958;Бар для привитых представительных персон, которым ещё и рано вставать (жалко их...) => Коррида
r-60;f-125;f-956;Бар для привитых представительных персон, которым ещё и рано вставать (жалко их...) => Красный Крокодил
r-61;f-125,fn-23;f-943;Социо- и котофоб, которому рано вставать => Бар O.W.Grant
r-62;f-125,f-113;f-944;Социо- и котофоб, которому рано вставать идет в бар-ресторан с хорошим обслуживанием => Бар Сияние
r-63;f-125,f-113;f-959;Социо- и котофоб, которому рано вставать идет в бар-ресторан с хорошим обслуживанием => London Pub
r-64;f-123,fi-30,fn-111;f-956;Бар без столиков на улице для представительных персон, которым рано вставать => Красный Крокодил
r-65;f-123,fn-23,f-113,fi-110;f-944;Бар-ресторан с хорошим обслуживанием для представительных персон, которым рано вставать => Бар Сияние
r-66;f-122,f-114,fi-22;f-126;Нелюдимый алкоголик пришёл сидеть до утра
r-67;f-126,f-115;f-127;Нелюдимый  социально ответственный алкоголик пришёл сидеть до утра
r-68;f-126,fn-111;f-128;Алкоголик-домосед пришёл сидеть до утра
r-69;f-122,f-115,fn-92,f-116;f-945;Привитый социо- и котофоб отмечает без кальяна =>Бар Мистер Fox
r-70;f-126,f-115;f-942;Нелюдимый привитый алкоголик пришёл сидеть до утра => Бар Есенин
r-71;f-126,f-115;f-943;Нелюдимый привитый алкоголик пришёл сидеть до утра => Бар O.W.Grant	  
r-72;f-126,f-115;f-955;Нелюдимый привитый алкоголик пришёл сидеть до утра => Бар Квадрюпель     	   
r-73;f-126,f-115;f-946;Нелюдимый привитый  алкоголик пришёл сидеть до утра => Бар Дрова     	   	 
r-74;f-126,f-115;f-945;Нелюдимый привитый  алкоголик пришёл сидеть до утра => Бар Мистер Fox       	  
r-75;f-126,f-115;f-964;Нелюдимый привитый  алкоголик пришёл сидеть до утра =>Бар Чёрный кот    	   
r-76;f-126,f-115;f-953;Нелюдимый привитый  алкоголик пришёл сидеть до утра => Бар Голодранец    	  
r-77;f-126,f-115;f-962;Нелюдимый привитый  алкоголик пришёл сидеть до утра => Бар Шкипер 		   
r-78;f-126,f-115;f-948;Нелюдимый привитый  алкоголик пришёл сидеть до утра => Бар Свой Бар   
r-79;f-128,fn-23,fi-110;f-955;Алкоголик-домосед пришёл сидеть до утра без QR-кода на улице => Бар Квадрюпель
r-80;f-128,fi-30;f-129;Алкоголик-домосед-антиваксер пришёл сидеть до утра
r-81;f-129;f-942;Алкоголик-домосед-антиваксер пришёл сидеть до утра => Бар Есенин     		   
r-82;f-129;f-955;Алкоголик-домосед-антиваксер пришёл сидеть до утра => Бар Квадрюпель     	
r-83;f-129;f-946;Алкоголик-домосед-антиваксер пришёл сидеть до утра => Бар Дрова
r-84;f-129;f-953;Алкоголик-домосед-антиваксер пришёл сидеть до утра => Бар Голодранец
r-85;f-129;f-964;Алкоголик-домосед-антиваксер пришёл сидеть до утра => Бар Чёрный кот
r-86;fi-24,f-115;f-130;Привитый курильщик
r-87;f-130,f-124;f-131;Обозлённый на мир офисный планктон
r-88;f-131,fi-26;f-963;Мы предварительно пришли по фичам в Mojo
r-121;f-131,fn-95;f-963;Мы предварительно пришли по фичам в Mojo
r-122;f-130,fn-97,fn-98,fn-108;f-132;Мы поняли что за человек такой перед нами
r-123;f-132,fi-17;f-133;Мы нашли странного человека
r-124;f-133,f-114;f-46;Мы предварительно пришли по фичам в Дрова
r-125;fi-17,fn-97,fn-108,fn-98;f-134;Мы идентифицировали игрока в кикер!!
r-126;f-134,f-115;f-135;Игрок ещё и привит!!!!
r-127;f-134,f-114,fn-111,fi-30;f-136;Мы нашли мерзляка, гоняющего в футбольчик
r-128;f-134,fi-26,fn-111,fi-30,fn-92;f-952;Мы предварительно пришли по фичам в Немца Перца Колбасу...
r-129;f-135,f-114;f-952;Мы предварительно пришли по фичам в Немца Перца Колбасу...
r-130;f-135,f-26,f-92;f-952;Мы предварительно пришли по фичам в Немца Перца Колбасу...
r-131;f-136;f-946;Мы предварительно пришли по фичам в Дрова
r-132;f-143,f-124;f-954;Мы предварительно пришли по фичам в 1984
r-133;f-143,f-124;f-973;Мы предварительно пришли по фичам в пивко
r-134;f-143,f-124;f-9103;Мы предварительно пришли по фичам в пивноff
r-135;f-143,f-124;f-947;Мы предварительно пришли по фичам в Hops
r-136;f-143,f-124;f-964;Мы предварительно пришли по фичам в Чёрный кот
r-137;f-143,f-124;f-953;Мы предварительно пришли по фичам в Голодранец
r-138;f-143,f-124;f-951;Мы предварительно пришли по фичам в Добрый Эль
r-139;f-143,f-124;f-946;Мы предварительно пришли по фичам в Дрова
r-140;f-143,f-124;f-950;Мы предварительно пришли по фичам в Пинту
r-141;f-143,f-124;f-956;Мы предварительно пришли по фичам в Красного Крокодила
r-142;f-143,f-124;f-942;Мы предварительно пришли по фичам в Есенина
r-143;f-143,f-124;f-952;Мы предварительно пришли по фичам в Немца Перца Колбасу
r-144;fn-98,fn-108,f-112;f-144;Мы пришли к непривередливым антикошатникам
r-145;f-143,f-144;f-946;Мы предварительно пришли по фичам в Дрова
r-146;fn-92,fi-26,f-124;f-145;Мы пришли к страшному человеку
r-147;f-145;f-951;Мы предварительно пришли по фичам в Добрый Эль
r-148;f-145;f-950;Мы предварительно пришли по фичам в Пинту
r-149;f-145;f-952;Мы предварительно пришли по фичам в Немца Перца Колбасу
r-150;f-110,f-114,f-124;f-137;Жаворонок-одиночка, который просто хочет накатить на свежем воздухе
r-151;f-137,fi-30;f-139;Одинокий жаворонок-антиваксер, который хочет просто накатить на свежем воздухе
r-152;f-137,fn-23;f-138;Привитый жаворонок-одиночка, который просто хочет накатить  на свежем воздухе
r-153;f-138;f-950;Привитый жаворонок-одиночка, который просто хочет накатить на свежем воздухе => Бар Пинта 
r-154;f-138;f-947;Привитый жаворонок-одиночка, который просто хочет накатить на свежем воздухе => Бар Hops
r-155;f-138;f-955;Привитый жаворонок-одиночка, который просто хочет накатить на свежем воздухе => Бар Квадрюпель
r-156;f-138;f-944;Привитый жаворонок-одиночка, который просто хочет накатить на свежем воздухе => Бар Сияние 
r-157;f-139;f-947;Одинокий жаворонок-антиваксер, который хочет просто накатить на свежем воздухе => Бар Hops
r-158;f-139;f-950;Одинокий жаворонок-антиваксер, который хочет просто накатить на свежем воздухе => Бар Пинта
r-159;fi-110,fn-92,fi-26,f-124;f-140;Некурящий одинокий жаворонок, который хочет покушать на улице
r-160;f-140,fn-23;f-950;Привитый некурящий одинокий жаворонок, который хочет покушать на улице => Пинта
r-161;f-140,fi-30;f-950;Непривитый некурящий одинокий жаворонок, который хочет покушать на улице => Пинта
r-162;fi-110,fn-89,fn-23,fn-108,fn-97;f-141; - привитый футболохейтер, который хочет посидеть на свежем воздухе днём
r-163;f-141,fn-92,fn-98,fi-26;f-944;Привитый некурящий непривередливый голодный футболохейтер, который хочет посидеть на свежем воздухе днём => Сияние
r-164;f-141,fi-28,f-114;f-944;Привитый футболохейтер, который хочет просто выпить на свежем воздухе днём => Сияние
r-165;fn-111,fi-30;f-142;Непривитые мерзляки
r-166;f-142,f-114;f-143;Непривитые мерзляки-алкоголики
r-171;f-145,f-89;f-956;Мы предварительно пришли по фичам в Красный Крокодил
r-172;fn-92,fi-26,f-124;f-146;Мы дошли до зожника с прибабахом
r-173;fn-108,fn-98;f-147;Мы дошли до непривередливого антикошатника
r-174;f-115,f-146;f-148;Мы пришли к очередному клерку
r-175;f-115,f-147;f-149;Мы пришли к привитому непривередливому антикошатнику
r-183;f-153;f-944;Бар Сияние
r-184;f-153;f-959;Бар London Pub
r-185;f-153;f-958;Бар Коррида
r-186;f-153;f-948;Бар Свой Бар
r-187;f-154;f-948;Бар Свой Бар 
r-188;f-153;f-961;Бар Mozart Wine House
r-176;f-148;f-950;Бар Пинта   
r-177;f-149,f-112,f-114;f-946;Бар Дрова
r-178;f-150,f-116; f-943;Бар O.W.Grant
r-179;f-157;f-956;Бар Красный Крокодил
r-180;f-156;f-943;Бар O.W.Grant
r-181;f-153;f-956;Бар Красный Крокодил
r-182;f-153;f-943;Бар O.W.Grant
r-167;f-148;f-960;Бар St. Patrick’s Pub
r-168;f-148;f-958;Бар Коррида   
r-169;f-148;f-945;Бар Мистер Fox 	 
r-170;f-148;f-963;Бар Mojo	
r-189;f-150,fn-97,fi-26;f-949;Бар Эйнштейн
r-190;f-132,fn-95,fn-92;f-949;Бар Эйнштейн
r-191;f-135,fi-26,fi-24;f-949;Бар Эйнштейн
r-192;f-135,fn-95,fi-24;f-949;Бар Эйнштейн
r-193;f-135,fn-95,fn-92;f-949;Бар Эйнштейн
r-194;f-135,fi-26,fn-92;f-949;Бар Эйнштейн
r-195;f-148;f-944;Бар Сияние
r-196;f-148;f-943;Бар O.W.Grant	
r-197;f-148;f-956;Бар Красный Крокодил 
r-198;f-148;f-959;Бар London Pub	
r-199;f-148;f-951;Бар Добрый Эль  
r-200;f-148;f-952;Бар Немец Перец Колбаса
r-201;f-973,fil-39,f-83,f-74,f-72;ff-73;Мы дошли до пивка на западном!!
r-202;f-973,fil-40,f-83,f-74,f-72;ff-73;Мы дошли до пивка на северном!!
r-203;f-9103,fil-39,f-83,f-74,f-72;ff-103;Мы дошли до пивноff на западном!!
r-204;f-9103,fil-40,f-83,f-74,f-72;ff-103;Мы дошли до пивноff на северном!!
r-205;f-942,fil-41,f-83,f-75,f-70;ff-42;Мы дошли до Есенина!!
r-206;f-943,fil-41,f-84,f-76,f-71;ff-43;Мы дошли до O.W.Grant!!
r-207;f-944,fil-41,f-85,f-76,f-69;ff-44;Мы дошли до Сияния!!
r-208;f-945,fil-41,f-82,f-75,f-71;ff-45;Мы дошли до Мистера Fox!!
r-209;f-946,fil-41,f-83,f-75,f-71;ff-46;Мы дошли до Дров!!
r-210;f-947,fil-41,f-83,f-75,f-70;ff-47;Мы дошли до Hops!!
r-211;f-948,fil-41,f-84,f-76,f-71;ff-48;Мы дошли до Своего бара!!
r-212;f-949,fil-39,f-86,f-75,f-69;ff-49;Мы дошли до Эйнштейна!!
r-213;f-950,fil-39,f-83,f-74,f-69;ff-50;Мы дошли до Пинты на западном!!
r-214;f-950,fil-40,f-83,f-74,f-69;ff-50;Мы дошли до Пинты на северном!!
r-215;f-950,fil-41,f-83,f-74,f-69;ff-50;Мы дошли до Пинты в центре!!
r-216;f-951,fil-39,f-83,f-74,f-69;ff-51;Мы дошли до Доброго Эля на западном!!
r-217;f-951,fil-40,f-83,f-74,f-69;ff-51;Мы дошли до Доброго Эля на северном!!
r-218;f-951,fil-41,f-83,f-74,f-69;ff-51;Мы дошли до Доброго Эля в центре!!
r-219;f-952,fil-41,f-86,f-74,f-69;ff-52;Мы дошли до Немца Перца Колбасы!!
r-220;f-953,fil-41,f-83,f-75,f-71;ff-53;Мы дошли до Голодранца!!
r-221;f-954,fil-41,f-86,f-76,f-71;ff-54;Мы дошли до 1984!!
r-222;f-955,fil-41,f-83,f-75,f-70;ff-55;Мы дошли до Квадрюпеля!!
r-223;f-956,fil-40,f-86,f-74,f-70;ff-56;Мы дошли до Красного Крокодила!!
r-224;f-957,fil-41,f-86,f-75,f-69;ff-57;Мы дошли до Шамайки!!
r-225;f-958,fil-40,f-86,f-75,f-69;ff-58;Мы дошли до Корриды!!
r-226;f-959,fil-41,f-83,f-76,f-70;ff-59;Мы дошли до London Pub!!
r-227;f-960,fil-41,f-86,f-76,f-71;ff-60;Мы дошли до St. Patrick’s Pub!!
r-228;f-961,fil-41,f-85,f-76,f-72;ff-61;Мы дошли до Mozart Wine House!!
r-229;f-962,fil-41,f-83,f-74,f-72;ff-62;Мы дошли до Шкипера!!
r-230;f-963,fil-41,f-84,f-76,f-71;ff-63;Мы дошли до Mojo!!
r-231;f-964,fil-41,f-86,f-74,f-72;ff-64;Мы дошли до Чёрного кота!!
r-232;f-149,fn-92,fn-89;f-150;Привитый непривередливый антикошатник, не играющий в кикер и не курящий кальян
r-233;fi-28,fn-89,fn-108,f-114;f-151;Пришли выпить и поболтать
r-234;f-151,f-115;f-152;Привитые пришли выпить и поболтать
r-235;f-152,fn-97;f-153;Привитые пришли выпить и поболтать до закрытия
r-236;f-152,fi-22;f-154;Привитые пришли выпить и поболтать до утра
r-237;f-151,fn-111;f-155;Мерзляки пришли выпить и поболтать
r-238;f-155,fi-22;f-156;Мерзляки пришли выпить и поболтать до утра
r-239;f-155,fi-30,fn-97;f-157;Непривитые мерзляки пришли выпить и поболтать до закрытия
